Número do Alimento;Categoria do alimento;Descrição dos alimentos;Umidade (%);Energia (kcal);Energia (kJ);Proteína (g);Lipídeos (g);Colesterol (mg);Carboidrato (g);Fibra Alimentar (g);Cinzas (g);Cálcio (mg);Magnésio (mg);Manganês (mg);Fósforo (mg);Ferro (mg);Sódio (mg);Potássio (mg);Cobre (mg);Zinco (mg);Retinol (mcg);RE (mcg);RAE (mcg);Tiamina (mg);Riboflavina (mg);Piridoxina (mg);Niacina (mg);Vitamina C (mg)
310;Pescados e frutos do mar;Pescadinha, crua;80,6;76;320;15,5;1,1;84;0;NA;2;332;34;0,07;327;0,5;120;304;0,1;0,6;Tr;Tr;Tr;0,08;Tr;Tr;6,6;
311;Pescados e frutos do mar;Pintado, assado;57;192;801;36,5;4;126;0;NA;2;114;42;0,08;332;0,8;81;527;0,04;2,1;7;7;7;0,03;Tr;Tr;6,63;
312;Pescados e frutos do mar;Pintado, cru;80,3;91;381;18,6;1,3;50;0;NA;1,1;12;24;0,01;174;0,2;43;294;0,03;0,4;Tr;Tr;Tr;Tr;Tr;Tr;4,95;
313;Pescados e frutos do mar;Pintado, grelhado;65,5;152;637;30,8;2,3;99;0;NA;1,6;69;27;0,03;237;0,5;53;360;0,04;0,8;5;5;5;0,03;Tr;Tr;2,87;
314;Pescados e frutos do mar;Porquinho, cru;79,2;93;389;20,5;0,6;49;0;NA;1,3;26;24;0,05;207;0,4;67;313;0,04;0,7;5;5;5;Tr;Tr;Tr;1,19;
315;Pescados e frutos do mar;Salmão, filé, com pele, fresco,  grelhado;60,9;229;957;23,9;14;85;0;NA;1,3;29;28;0,02;300;0,5;85;384;0,04;0,6;Tr;Tr;Tr;0,13;0,06;Tr;5,35;
316;Pescados e frutos do mar;Salmão, sem pele, fresco, cru;69;170;710;19,3;9,7;53;0;NA;1,2;9;27;Tr;259;0,2;64;376;0,02;0,3;Tr;Tr;Tr;0,2;0,03;Tr;3,21;
317;Pescados e frutos do mar;Salmão, sem pele, fresco, grelhado;58,1;243;1015;26,1;14,5;73;0;NA;1,6;15;38;0,01;352;0,4;96;518;0,04;0,5;Tr;Tr;Tr;0,23;0,03;Tr;6,3;
318;Pescados e frutos do mar;Sardinha, assada;60,1;164;688;32,2;3;109;0;NA;4,4;438;51;0,24;578;1,3;74;574;0,14;1,8;Tr;Tr;Tr;0,06;Tr;Tr;5,83;
319;Pescados e frutos do mar;Sardinha, conserva em óleo;55,1;285;1192;15,9;24;73;0;NA;2,9;550;35;0,11;496;3,5;666;367;0,03;1,6;Tr;Tr;Tr;0,42;0,04;Tr;6,55;
320;Pescados e frutos do mar;Sardinha, frita;48,5;257;1075;33,4;12,7;103;0;NA;4,3;482;39;0,25;629;1,1;60;460;0,14;1,6;Tr;Tr;Tr;0,06;Tr;Tr;7,1;
321;Pescados e frutos do mar;Sardinha, inteira, crua;76,6;114;477;21,1;2,7;61;0;NA;1,6;167;29;0,1;294;1,3;60;312;0,13;1,3;Tr;Tr;Tr;Tr;0,07;Tr;7,7;
322;Pescados e frutos do mar;Tucunaré, filé, congelado, cru;79,9;88;367;18;1,2;47;0;NA;1;19;26;0,01;168;0,3;57;288;0,1;0,4;Tr;Tr;Tr;Tr;0,05;Tr;0,9;
