Número do Alimento;Categoria do alimento;Descrição dos alimentos;Saturados (g);Mono-insaturados (g);Poli-insaturados (g);12:0 (g);14:0 (g);16:0 (g);18:0 (g);20:0 (g);22:0 (g);24:0 (g);14:1 (g);16:1 (g);18:1 (g);20:1 (g);18:2 n-6 (g);18:3 n-3 (g);20:4 (g);20:5 (g);22:5 (g);22:6 (g);18:1t (g);18:2t (g)

1;Cereais e derivados;Arroz, integral, cozido;0,3;0,4;0,3;;Tr;0,25;0,02;Tr;Tr;Tr;;;0,36;Tr;0,31;0,01;;;Tr;;;
2;Cereais e derivados;Arroz, integral, cru;0,3;0,5;0,4;;0,01;0,24;0,02;0,01;Tr;Tr;;Tr;0,45;Tr;0,38;0,02;;;;;;
3;Cereais e derivados;Arroz, tipo 1, cozido;0,2;Tr;Tr;;Tr;0,16;0,01;;;;;;0,04;;0,06;;;;;;;
4;Cereais e derivados;Arroz, tipo 1, cru;0,1;0,1;0,1;Tr;Tr;0,06;0,01;Tr;Tr;Tr;;;0,06;;0,08;Tr;;;;;;Tr
5;Cereais e derivados;Arroz, tipo 2, cozido;0,1;0,1;0,1;;Tr;0,12;0,02;;;;;Tr;0,12;Tr;0,09;Tr;;;;;;
6;Cereais e derivados;Arroz, tipo 2, cru;0,1;0,1;0,1;;Tr;0,06;0,01;Tr;Tr;Tr;;;0,09;Tr;0,09;Tr;;;;;;
7;Cereais e derivados;Aveia, flocos, crua;1,5;3,2;3,0;;0,02;1,37;0,14;Tr;;0,02;;Tr;3,10;0,05;2,95;0,06;;;;;;
8;Cereais e derivados;Biscoito, doce, maisena;3,9;3,7;2,2;0,03;0,07;2,76;0,94;0,03;0,02;0,01;;0,02;3,70;0,02;2,13;0,10;;;;;1,36;0,22
9;Cereais e derivados;Biscoito, doce, recheado com chocolate;6,2;6,6;1,7;0,19;0,13;3,11;2,55;0,07;0,07;0,02;;0,02;6,55;0,04;1,68;0,06;;;;;3,84;0,37
10;Cereais e derivados;Biscoito, doce, recheado com morango;6,1;6,5;1,7;0,07;0,07;3,35;2,41;0,06;;;;0,04;6,40;0,02;1,61;0,06;;;;;4,21;0,32
11;Cereais e derivados;Biscoito, doce, wafer, recheado de chocolate;6,5;8,1;1,9;;0,02;3,21;3,02;0,09;0,12;0,02;0,02;0,02;8,07;0,02;1,84;0,09;;;;;6,63;0,42
12;Cereais e derivados;Biscoito, doce, wafer, recheado de morango;6,7;8,9;1,8;;0,03;3,32;3,10;0,10;0,10;0,03;;0,03;8,83;0,03;1,77;0,08;;;;;7,24;0,56
13;Cereais e derivados;Biscoito, salgado, cream cracker;4,4;4,6;2,9;0,01;0,07;2,99;1,24;0,04;0,03;0,01;;0,06;4,52;0,03;2,79;0,01;;;;;1,57;0,23
14;Cereais e derivados;Bolo, mistura para;2,1;1,9;0,8;0,01;0,03;1,03;0,97;0,02;0,02;0,01;;0,01;1,88;0,01;0,78;0,03;;;;;0,93;0,15
15;Cereais e derivados;Bolo, pronto, aipim;5,0;3,9;1,1;0,98;0,48;1,88;1,28;0,04;0,04;0,01;;0,06;3,80;0,02;1,00;0,06;0,04;;;;1,99;
16;Cereais e derivados;Bolo, pronto, chocolate;5,5;6,2;3,0;;0,06;2,97;2,33;0,07;0,06;0,02;;0,06;6,15;0,04;2,83;0,04;0,02;;;;2,49;0,42
