Número do Alimento;Categoria do alimento;Descrição dos alimentos;Saturados (g);Mono-insaturados (g);Poli-insaturados (g);12:0 (g);14:0 (g);16:0 (g);18:0 (g);20:0 (g);22:0 (g);24:0 (g);14:1 (g);16:1 (g);18:1 (g);20:1 (g);18:2 n-6 (g);18:3 n-3 (g);20:4 (g);20:5 (g);22:5 (g);22:6 (g);18:1t (g);18:2t (g)

520;Outros alimentos industrializados;Azeitona, preta, conserva;3,5;11,0;3,0;;;2,87;0,47;0,08;0,02;0,01;;0,29;10,57;0,04;2,77;0,19;;;;;;
521;Outros alimentos industrializados;Azeitona, verde, conserva;2,3;8,3;1,0;;;1,93;0,29;0,05;0,01;0,01;;0,18;8,07;0,03;0,91;0,13;;;;;;
522;Outros alimentos industrializados;Chantilly, spray, com gordura vegetal;25,9;0,1;0,1;10,70;3,64;2,63;7,46;0,08;;0,03;; ;0,05;Tr;0,08;;;;;;;
523;Outros alimentos industrializados;Leite, de coco;15,6;0,9;0,2;8,25;2,99;1,33;0,51;0,01;;;;;0,92;;0,17;;;;;;;
524;Outros alimentos industrializados;Maionese, tradicional com ovos;4,1;6,4;15,4;;0,02;2,84;0,37;0,08;0,11;0,04;;0,04;6,24;0,14;13,86;1,43;;;;;;0,17
